Number of model parameters: 79003758
Epoch: [3][360/374]	Time 0.952 (0.867)	Loss 1.5882 (2.0013)
Epoch: [3][370/374]	Time 0.797 (0.865)	Loss 2.6555 (1.9993)
Test: [0/267]	Time 3.844 (3.844)	Loss 0.7309 (0.7309)
Test: [10/267]	Time 0.928 (1.301)	Loss 0.8864 (0.8463)
Test: [20/267]	Time 1.046 (1.154)	Loss 1.8095 (0.9631)
Test: [30/267]	Time 1.001 (1.135)	Loss 1.7113 (1.0880)
Test: [40/267]	Time 1.026 (1.104)	Loss 1.2371 (1.1122)
Test: [50/267]	Time 1.478 (1.094)	Loss 1.6900 (1.1668)
Test: [60/267]	Time 1.015 (1.088)	Loss 0.6362 (1.1455)
Test: [70/267]	Time 1.313 (1.080)	Loss 1.3196 (1.1104)
Test: [80/267]	Time 1.038 (1.087)	Loss 0.6710 (1.1186)
Test: [90/267]	Time 0.966 (1.079)	Loss 1.3051 (1.0859)
Test: [100/267]	Time 0.950 (1.073)	Loss 0.7383 (1.0569)
Test: [110/267]	Time 1.222 (1.080)	Loss 0.7023 (1.0252)
Test: [120/267]	Time 0.982 (1.071)	Loss 0.7617 (1.0180)
Test: [130/267]	Time 1.192 (1.066)	Loss 0.6515 (0.9994)
Test: [140/267]	Time 1.586 (1.064)	Loss 1.3463 (1.0040)
Test: [150/267]	Time 1.044 (1.068)	Loss 1.1810 (1.0175)
Test: [160/267]	Time 1.040 (1.069)	Loss 0.4604 (1.0422)
Test: [170/267]	Time 1.007 (1.068)	Loss 0.6069 (1.0278)
Test: [180/267]	Time 1.004 (1.068)	Loss 0.7269 (1.0227)
Test: [190/267]	Time 0.928 (1.067)	Loss 0.7251 (1.0192)
Test: [200/267]	Time 0.993 (1.062)	Loss 1.2865 (1.0288)
Test: [210/267]	Time 1.072 (1.062)	Loss 0.9364 (1.0240)
Test: [220/267]	Time 1.133 (1.066)	Loss 1.5837 (1.0307)
Test: [230/267]	Time 1.075 (1.071)	Loss 1.1177 (1.0367)
Test: [240/267]	Time 1.461 (1.074)	Loss 0.7818 (1.0431)
Test: [250/267]	Time 1.026 (1.077)	Loss 1.0761 (1.0455)
Test: [260/267]	Time 1.043 (1.082)	Loss 0.6891 (1.0386)
------------------------------------------------------------------------------------------------------
[epoch: 3], [val_loss: 1.030665], [acc: 0.65286], [miou: 0.43289]
best record: [epoch: 2], [val_loss: 0.85447], [acc: 0.67664], [miou: 0.46049]
------------------------------------------------------------------------------------------------------
Epoch: [4][0/374]	Time 4.038 (4.038)	Loss 1.5244 (1.5244)
Epoch: [4][10/374]	Time 0.866 (1.103)	Loss 1.7867 (1.7742)
Epoch: [4][20/374]	Time 1.121 (0.979)	Loss 1.8434 (1.9069)
Epoch: [4][30/374]	Time 0.878 (0.930)	Loss 2.0048 (1.9474)
Epoch: [4][40/374]	Time 1.111 (0.901)	Loss 1.6745 (1.8809)
Epoch: [4][50/374]	Time 0.877 (0.882)	Loss 1.9734 (1.8935)
Epoch: [4][60/374]	Time 0.800 (0.878)	Loss 1.5661 (1.9092)
Epoch: [4][70/374]	Time 1.130 (0.873)	Loss 1.5828 (1.9274)
Epoch: [4][80/374]	Time 0.809 (0.868)	Loss 2.4094 (1.9286)
Epoch: [4][90/374]	Time 0.803 (0.861)	Loss 2.1624 (1.9282)
Epoch: [4][100/374]	Time 0.844 (0.869)	Loss 1.9832 (1.9233)
Epoch: [4][110/374]	Time 0.813 (0.872)	Loss 1.6565 (1.9066)
Epoch: [4][120/374]	Time 0.986 (0.875)	Loss 2.6207 (1.9026)
Epoch: [4][130/374]	Time 0.817 (0.874)	Loss 1.7296 (1.9002)
